"","priority","Explanation (RiskPerformance=Bad)","Confidence","Support (rel)","Support (abs)","Lift"
"1",1,"MSinceOldestTradeOpen is lower than 81 (incl) THEN RiskPerformance is Bad",1,0.00458949524909258,48,1.91591866642242
"2",2,"NumInqLast6Mexcl7days is between 4 (incl) to Inf (incl) THEN RiskPerformance is Bad",1,0.00229474762454629,24,1.91591866642242
"3",3,"NumTotalTrades is between 12 (incl) to Inf (incl) THEN RiskPerformance is Bad",1,0.00178480369504541,18,1.91591866642242
"4",4,"NumRevolvingTradesWBalance is between -9 (incl) to -8 (incl) THEN RiskPerformance is Bad",1,0.000892401847522706,9,1.91591866642242
"5",5,"MSinceOldestTradeOpen is lower than 6 (incl) THEN RiskPerformance is Bad",1,0.000509943929500878,5,1.91591866642242
"6",6,"ExternalRiskEstimate is lower than 54 (incl) THEN RiskPerformance is Bad",1,0.000509943929500878,5,1.91591866642242
"7",7,"NumInqLast6M is between 5 (incl) to Inf (incl) THEN RiskPerformance is Bad",1,0.000382457918021828,4,1.91591866642242
"8",8,"MSinceMostRecentDelq is lower than -8 (incl) THEN RiskPerformance is Bad",1,0.000127485982375219,1,1.91591866642242
"9",9,"NetFractionRevolvingBurden is between -9 (incl) to -8 (incl) THEN RiskPerformance is Bad",1,0.000127485982375219,1,1.91591866642242
"10",10,"MSinceOldestTradeOpen is between 2 (incl) to 99 (incl) THEN RiskPerformance is Bad",0.958333313465118,0.00879653263837099,92,1.83608868392227
"11",11,"ExternalRiskEstimate is between 62 (incl) to 67 (incl) THEN RiskPerformance is Bad",0.953488349914551,0.00522692501544952,54,1.8268061278176
"12",12,"NumSatisfactoryTrades is lower than 12 (incl) THEN RiskPerformance is Bad",0.948275864124298,0.00701172882691026,73,1.81681942899359
"13",13,"ExternalRiskEstimate is between 43 (incl) to 63 (incl) THEN RiskPerformance is Bad",0.9454545378685,0.0132585419341922,138,1.81141399735604
"14",14,"NumInqLast6M is between 6 (incl) to Inf (incl) THEN RiskPerformance is Bad",0.933333337306976,0.00178480369504541,18,1.78819076294077
"15",15,"PercentTradesNeverDelq is between 72 (incl) to 99 (incl) THEN RiskPerformance is Bad",0.920000016689301,0.00293217739090323,30,1.76264520508397
"16",16,"NumInqLast6M is between 2 (incl) to Inf (incl) THEN RiskPerformance is Bad",0.911111116409302,0.00522692501544952,54,1.74561479511355
"17",17,"NumInqLast6M is between 6 (incl) to Inf (incl) THEN RiskPerformance is Bad",0.909090936183929,0.00254971953108907,26,1.74174429411023
"18",18,"MSinceMostRecentDelq is between 0 (incl) to 16 (incl) THEN RiskPerformance is Bad",0.90625,0.00369709334336221,38,1.73630129144532
"19",19,"PercentTradesNeverDelq is lower than 86 (incl) THEN RiskPerformance is Bad",0.901960790157318,0.00586435478180647,61,1.72808351424352
"20",20,"AverageMInFile is between -9 (incl) to 52 (incl) THEN RiskPerformance is Bad",0.888888895511627,0.0122386533766985,128,1.70303882728634
"21",21,"MaxDelq2PublicRecLast12M is between -9 (incl) to 5 (incl) THEN RiskPerformance is Bad",0.888888895511627,0.00305966334417462,32,1.70303882728634
"22",22,"MSinceMostRecentDelq is between 0 (incl) to 20 (incl) THEN RiskPerformance is Bad",0.886792480945587,0.0119836814701557,125,1.6990222674867
"23",23,"NumTrades90Ever2DerogPubRec is between 1 (incl) to Inf (incl) THEN RiskPerformance is Bad",0.8852459192276,0.00688424287363887,72,1.69605918102243
